172,155,158;1f004
167,166,143;1f468-1f3fc-200d-1f4bc
80,89,90;1f468-1f3fc-200d-1f527
129,121,102;1f468-1f3fc-200d-1f52c
120,104,72;1f468-1f3fc-200d-1f680
115,69,55;1f468-1f3fc-200d-1f692
82,86,70;1f468-1f3fc-200d-1f91d-200d-1f468-1f3fb
85,83,64;1f468-1f3fc-200d-1f91d-200d-1f468-1f3fd
79,79,61;1f468-1f3fc-200d-1f91d-200d-1f468-1f3fe
70,73,57;1f468-1f3fc-200d-1f91d-200d-1f468-1f3ff
27,34,27;1f468-1f3fc-200d-1f9af
134,92,64;1f468-1f3fc-200d-1f9b0
148,128,57;1f468-1f3fc-200d-1f9b1
111,94,72;1f468-1f3fc-200d-1f9b2
132,119,104;1f468-1f3fc-200d-1f9b3
46,40,38;1f468-1f3fc-200d-1f9bc
41,41,37;1f468-1f3fc-200d-1f9bd
88,88,67;1f468-1f3fc-200d-2695-fe0f
74,66,58;1f468-1f3fc-200d-2696-fe0f
102,94,78;1f468-1f3fc-200d-2708-fe0f
159,139,66;1f468-1f3fc
89,77,61;1f468-1f3fd-200d-1f33e
129,117,111;1f468-1f3fd-200d-1f373
63,64,61;1f468-1f3fd-200d-1f37c
172,121,118;1f468-1f3fd-200d-1f384
65,56,44;1f468-1f3fd-200d-1f393
82,88,97;1f468-1f3fd-200d-1f3a4
96,80,63;1f468-1f3fd-200d-1f3a8
145,130,100;1f468-1f3fd-200d-1f3eb
62,81,94;1f468-1f3fd-200d-1f3ed
103,93,81;1f468-1f3fd-200d-1f4bb
151,143,140;1f468-1f3fd-200d-1f4bc
74,80,86;1f468-1f3fd-200d-1f527
115,99,99;1f468-1f3fd-200d-1f52c
104,80,67;1f468-1f3fd-200d-1f680
109,62,51;1f468-1f3fd-200d-1f692
74,75,68;1f468-1f3fd-200d-1f91d-200d-1f468-1f3fb
85,83,64;1f468-1f3fd-200d-1f91d-200d-1f468-1f3fc
71,68,59;1f468-1f3fd-200d-1f91d-200d-1f468-1f3fe
63,62,55;1f468-1f3fd-200d-1f91d-200d-1f468-1f3ff
24,29,26;1f468-1f3fd-200d-1f9af
124,79,55;1f468-1f3fd-200d-1f9b0
110,68,50;1f468-1f3fd-200d-1f9b1
98,77,61;1f468-1f3fd-200d-1f9b2
122,107,95;1f468-1f3fd-200d-1f9b3
43,36,37;1f468-1f3fd-200d-1f9bc
38,37,36;1f468-1f3fd-200d-1f9bd
72,64,63;1f468-1f3fd-200d-2695-fe0f
69,59,54;1f468-1f3fd-200d-2696-fe0f
95,84,74;1f468-1f3fd-200d-2708-fe0f
119,78,58;1f468-1f3fd
82,70,53;1f468-1f3fe-200d-1f33e
121,109,104;1f468-1f3fe-200d-1f373
54,57,55;1f468-1f3fe-200d-1f37c
163,111,107;1f468-1f3fe-200d-1f384
56,48,36;1f468-1f3fe-200d-1f393
76,81,90;1f468-1f3fe-200d-1f3a4
86,72,55;1f468-1f3fe-200d-1f3a8
132,122,93;1f468-1f3fe-200d-1f3eb
57,75,88;1f468-1f3fe-200d-1f3ed
91,85,74;1f468-1f3fe-200d-1f4bb
138,134,132;1f468-1f3fe-200d-1f4bc
66,72,77;1f468-1f3fe-200d-1f527
104,93,93;1f468-1f3fe-200d-1f52c
92,72,60;1f468-1f3fe-200d-1f680
102,55,43;1f468-1f3fe-200d-1f692
68,71,65;1f468-1f3fe-200d-1f91d-200d-1f468-1f3fb
79,80,61;1f468-1f3fe-200d-1f91d-200d-1f468-1f3fc
71,68,59;1f468-1f3fe-200d-1f91d-200d-1f468-1f3fd
57,58,52;1f468-1f3fe-200d-1f91d-200d-1f468-1f3ff
22,27,25;1f468-1f3fe-200d-1f9af
110,64,38;1f468-1f3fe-200d-1f9b0
82,54,38;1f468-1f3fe-200d-1f9b1
80,57,39;1f468-1f3fe-200d-1f9b2
108,91,78;1f468-1f3fe-200d-1f9b3
41,35,36;1f468-1f3fe-200d-1f9bc
36,35,35;1f468-1f3fe-200d-1f9bd
59,55,54;1f468-1f3fe-200d-2695-fe0f
62,51,45;1f468-1f3fe-200d-2696-fe0f
87,76,66;1f468-1f3fe-200d-2708-fe0f
90,60,43;1f468-1f3fe
72,62,48;1f468-1f3ff-200d-1f33e
111,101,99;1f468-1f3ff-200d-1f373
41,48,48;1f468-1f3ff-200d-1f37c
150,100,101;1f468-1f3ff-200d-1f384
43,39,30;1f468-1f3ff-200d-1f393
67,74,86;1f468-1f3ff-200d-1f3a4
72,61,48;1f468-1f3ff-200d-1f3a8
113,109,83;1f468-1f3ff-200d-1f3eb
49,69,85;1f468-1f3ff-200d-1f3ed
72,72,65;1f468-1f3ff-200d-1f4bb
119,121,123;1f468-1f3ff-200d-1f4bc
54,63,71;1f468-1f3ff-200d-1f527
87,81,86;1f468-1f3ff-200d-1f52c
72,58,50;1f468-1f3ff-200d-1f680
92,47,38;1f468-1f3ff-200d-1f692
60,65,61;1f468-1f3ff-200d-1f91d-200d-1f468-1f3fb
71,74,57;1f468-1f3ff-200d-1f91d-200d-1f468-1f3fc
63,62,55;1f468-1f3ff-200d-1f91d-200d-1f468-1f3fd
57,58,52;1f468-1f3ff-200d-1f91d-200d-1f468-1f3fe
18,25,23;1f468-1f3ff-200d-1f9af
90,48,29;1f468-1f3ff-200d-1f9b0
40,25,18;1f468-1f3ff-200d-1f9b1
55,37,27;1f468-1f3ff-200d-1f9b2
88,76,69;1f468-1f3ff-200d-1f9b3
38,32,34;1f468-1f3ff-200d-1f9bc
33,33,33;1f468-1f3ff-200d-1f9bd
39,41,45;1f468-1f3ff-200d-2695-fe0f
52,43,40;1f468-1f3ff-200d-2696-fe0f
74,67,60;1f468-1f3ff-200d-2708-fe0f
47,30,22;1f468-1f3ff
96,85,54;1f468-200d-1f33e
136,125,105;1f468-200d-1f373
76,78,56;1f468-200d-1f37c
182,133,108;1f468-200d-1f384
75,67,37;1f468-200d-1f393
88,95,91;1f468-200d-1f3a4
109,94,56;1f468-200d-1f3a8
164,151,95;1f468-200d-1f3eb
67,87,89;1f468-200d-1f3ed
133,111,59;1f468-200d-1f466-200d-1f466
122,113,75;1f468-200d-1f466
141,109,52;1f468-200d-1f467-200d-1f466
150,107,45;1f468-200d-1f467-200d-1f467
134,112,67;1f468-200d-1f467
184,155,86;1f468-200d-1f468-200d-1f466-200d-1f466
177,159,100;1f468-200d-1f468-200d-1f466
191,151,76;1f468-200d-1f468-200d-1f467-200d-1f466
199,148,67;1f468-200d-1f468-200d-1f467-200d-1f467
188,155,87;1f468-200d-1f468-200d-1f467
196,157,86;1f468-200d-1f469-200d-1f466-200d-1f466
191,157,99;1f468-200d-1f469-200d-1f466
203,154,77;1f468-200d-1f469-200d-1f467-200d-1f466
209,151,68;1f468-200d-1f469-200d-1f467-200d-1f467
200,154,87;1f468-200d-1f469-200d-1f467
121,113,76;1f468-200d-1f4bb
169,162,134;1f468-200d-1f4bc
83,90,78;1f468-200d-1f527
131,117,95;1f468-200d-1f52c
122,100,62;1f468-200d-1f680
116,70,44;1f468-200d-1f692
28,33,25;1f468-200d-1f9af
138,95,41;1f468-200d-1f9b0
152,115,43;1f468-200d-1f9b1
117,98,42;1f468-200d-1f9b2
137,123,81;1f468-200d-1f9b3
46,39,36;1f468-200d-1f9bc
41,40,35;1f468-200d-1f9bd
91,84,56;1f468-200d-2695-fe0f
76,68,46;1f468-200d-2696-fe0f
104,95,67;1f468-200d-2708-fe0f
154,119,83;1f468-200d-2764-fe0f-200d-1f468
169,113,50;1f468-200d-2764-fe0f-200d-1f48b-200d-1f468
163,126,47;1f468
92,84,71;1f469-1f3fb-200d-1f33e
136,128,127;1f469-1f3fb-200d-1f373
70,65,72;1f469-1f3fb-200d-1f37c
142,109,108;1f469-1f3fb-200d-1f384
69,63,62;1f469-1f3fb-200d-1f393
112,83,97;1f469-1f3fb-200d-1f3a4
96,82,83;1f469-1f3fb-200d-1f3a8
123,116,110;1f469-1f3fb-200d-1f3eb
62,84,101;1f469-1f3fb-200d-1f3ed
100,96,105;1f469-1f3fb-200d-1f4bb
134,145,150;1f469-1f3fb-200d-1f4bc
78,89,100;1f469-1f3fb-200d-1f527
104,101,107;1f469-1f3fb-200d-1f52c
94,85,79;1f469-1f3fb-200d-1f680
108,66,59;1f469-1f3fb-200d-1f692
97,83,74;1f469-1f3fb-200d-1f91d-200d-1f468-1f3fc
89,71,72;1f469-1f3fb-200d-1f91d-200d-1f468-1f3fd
84,67,69;1f469-1f3fb-200d-1f91d-200d-1f468-1f3fe
75,61,65;1f469-1f3fb-200d-1f91d-200d-1f468-1f3ff
109,83,74;1f469-1f3fb-200d-1f91d-200d-1f469-1f3fc
98,67,71;1f469-1f3fb-200d-1f91d-200d-1f469-1f3fd
91,62,67;1f469-1f3fb-200d-1f91d-200d-1f469-1f3fe
79,54,61;1f469-1f3fb-200d-1f91d-200d-1f469-1f3ff
25,26,36;1f469-1f3fb-200d-1f9af
169,101,74;1f469-1f3fb-200d-1f9b0
85,78,76;1f469-1f3fb-200d-1f9b1
112,97,90;1f469-1f3fb-200d-1f9b2
166,158,155;1f469-1f3fb-200d-1f9b3
43,35,42;1f469-1f3fb-200d-1f9bc
38,35,43;1f469-1f3fb-200d-1f9bd
64,68,74;1f469-1f3fb-200d-2695-fe0f
75,68,66;1f469-1f3fb-200d-2696-fe0f
93,89,84;1f469-1f3fb-200d-2708-fe0f
90,82,79;1f469-1f3fb
106,95,63;1f469-1f3fc-200d-1f33e
152,140,119;1f469-1f3fc-200d-1f373
96,86,64;1f469-1f3fc-200d-1f37c
141,106,98;1f469-1f3fc-200d-1f384
90,79,53;1f469-1f3fc-200d-1f393
111,81,91;1f469-1f3fc-200d-1f3a4
124,104,74;1f469-1f3fc-200d-1f3a8
162,148,99;1f469-1f3fc-200d-1f3eb
78,97,96;1f469-1f3fc-200d-1f3ed
138,127,95;1f469-1f3fc-200d-1f4bb
172,176,139;1f469-1f3fc-200d-1f4bc
97,104,91;1f469-1f3fc-200d-1f527
142,132,99;1f469-1f3fc-200d-1f52c
135,119,69;1f469-1f3fc-200d-1f680
126,81,52;1f469-1f3fc-200d-1f692
105,89,72;1f469-1f3fc-200d-1f91d-200d-1f468-1f3fb
108,86,66;1f469-1f3fc-200d-1f91d-200d-1f468-1f3fd
102,82,63;1f469-1f3fc-200d-1f91d-200d-1f468-1f3fe
94,76,59;1f469-1f3fc-200d-1f91d-200d-1f468-1f3ff
113,87,74;1f469-1f3fc-200d-1f91d-200d-1f469-1f3fb
117,82,65;1f469-1f3fc-200d-1f91d-200d-1f469-1f3fd
109,77,60;1f469-1f3fc-200d-1f91d-200d-1f469-1f3fe
98,69,55;1f469-1f3fc-200d-1f91d-200d-1f469-1f3ff
31,32,34;1f469-1f3fc-200d-1f9af
168,98,62;1f469-1f3fc-200d-1f9b0
183,159,55;1f469-1f3fc-200d-1f9b1
110,92,71;1f469-1f3fc-200d-1f9b2
165,154,143;1f469-1f3fc-200d-1f9b3
48,38,40;1f469-1f3fc-200d-1f9bc
43,39,41;1f469-1f3fc-200d-1f9bd
102,99,63;1f469-1f3fc-200d-2695-fe0f
75,66,59;1f469-1f3fc-200d-2696-fe0f
118,109,75;1f469-1f3fc-200d-2708-fe0f
177,153,58;1f469-1f3fc
95,77,60;1f469-1f3fd-200d-1f33e
139,121,116;1f469-1f3fd-200d-1f373
79,60,62;1f469-1f3fd-200d-1f37c
134,97,91;1f469-1f3fd-200d-1f384
74,56,49;1f469-1f3fd-200d-1f393
107,76,88;1f469-1f3fd-200d-1f3a4
106,76,70;1f469-1f3fd-200d-1f3a8
138,111,96;1f469-1f3fd-200d-1f3eb
67,81,94;1f469-1f3fd-200d-1f3ed
115,91,92;1f469-1f3fd-200d-1f4bb
148,139,136;1f469-1f3fd-200d-1f4bc
82,82,87;1f469-1f3fd-200d-1f527
120,97,96;1f469-1f3fd-200d-1f52c
110,80,66;1f469-1f3fd-200d-1f680
113,61,49;1f469-1f3fd-200d-1f692
93,70,70;1f469-1f3fd-200d-1f91d-200d-1f468-1f3fb
103,79,66;1f469-1f3fd-200d-1f91d-200d-1f468-1f3fc
90,63,61;1f469-1f3fd-200d-1f91d-200d-1f468-1f3fe
81,57,56;1f469-1f3fd-200d-1f91d-200d-1f468-1f3ff
101,68,71;1f469-1f3fd-200d-1f91d-200d-1f469-1f3fb
115,79,65;1f469-1f3fd-200d-1f91d-200d-1f469-1f3fc
97,58,58;1f469-1f3fd-200d-1f91d-200d-1f469-1f3fe
85,50,52;1f469-1f3fd-200d-1f91d-200d-1f469-1f3ff
27,25,33;1f469-1f3fd-200d-1f9af
160,87,55;1f469-1f3fd-200d-1f9b0
127,71,50;1f469-1f3fd-200d-1f9b1
97,76,60;1f469-1f3fd-200d-1f9b2
156,144,136;1f469-1f3fd-200d-1f9b3
44,33,40;1f469-1f3fd-200d-1f9bc
40,33,40;1f469-1f3fd-200d-1f9bd
59,60,62;1f469-1f3fd-200d-2695-fe0f
70,60,55;1f469-1f3fd-200d-2696-fe0f
102,83,72;1f469-1f3fd-200d-2708-fe0f
126,73,52;1f469-1f3fd
85,71,54;1f469-1f3fe-200d-1f33e
129,115,109;1f469-1f3fe-200d-1f373
68,54,56;1f469-1f3fe-200d-1f37c
124,86,79;1f469-1f3fe-200d-1f384
63,48,43;1f469-1f3fe-200d-1f393
102,71,82;1f469-1f3fe-200d-1f3a4
93,69,64;1f469-1f3fe-200d-1f3a8
122,103,90;1f469-1f3fe-200d-1f3eb
60,76,90;1f469-1f3fe-200d-1f3ed
100,83,86;1f469-1f3fe-200d-1f4bb
132,130,129;1f469-1f3fe-200d-1f4bc
71,74,80;1f469-1f3fe-200d-1f527
106,91,93;1f469-1f3fe-200d-1f52c
94,73,61;1f469-1f3fe-200d-1f680
103,54,43;1f469-1f3fe-200d-1f692
84,65,66;1f469-1f3fe-200d-1f91d-200d-1f468-1f3fb
95,74,61;1f469-1f3fe-200d-1f91d-200d-1f468-1f3fc
87,62,60;1f469-1f3fe-200d-1f91d-200d-1f468-1f3fd
72,52,52;1f469-1f3fe-200d-1f91d-200d-1f468-1f3ff
92,63,67;1f469-1f3fe-200d-1f91d-200d-1f469-1f3fb
106,74,61;1f469-1f3fe-200d-1f91d-200d-1f469-1f3fc
96,58,58;1f469-1f3fe-200d-1f91d-200d-1f469-1f3fd
76,45,48;1f469-1f3fe-200d-1f91d-200d-1f469-1f3ff
24,24,32;1f469-1f3fe-200d-1f9af
149,75,41;1f469-1f3fe-200d-1f9b0
92,57,42;1f469-1f3fe-200d-1f9b1
80,56,39;1f469-1f3fe-200d-1f9b2
145,131,123;1f469-1f3fe-200d-1f9b3
42,32,38;1f469-1f3fe-200d-1f9bc
37,32,39;1f469-1f3fe-200d-1f9bd
62,54,53;1f469-1f3fe-200d-2695-fe0f
64,53,47;1f469-1f3fe-200d-2696-fe0f
90,76,66;1f469-1f3fe-200d-2708-fe0f
92,58,42;1f469-1f3fe
72,61,47;1f469-1f3ff-200d-1f33e
114,104,102;1f469-1f3ff-200d-1f373
51,42,48;1f469-1f3ff-200d-1f37c
110,75,73;1f469-1f3ff-200d-1f384
46,36,34;1f469-1f3ff-200d-1f393
95,65,78;1f469-1f3ff-200d-1f3a4
73,55,55;1f469-1f3ff-200d-1f3a8
98,86,78;1f469-1f3ff-200d-1f3eb
48,68,84;1f469-1f3ff-200d-1f3ed
76,67,75;1f469-1f3ff-200d-1f4bb
107,114,118;1f469-1f3ff-200d-1f4bc
54,62,71;1f469-1f3ff-200d-1f527
84,77,82;1f469-1f3ff-200d-1f52c
70,56,49;1f469-1f3ff-200d-1f680
88,44,36;1f469-1f3ff-200d-1f692
71,56,59;1f469-1f3ff-200d-1f91d-200d-1f468-1f3fb
82,65,55;1f469-1f3ff-200d-1f91d-200d-1f468-1f3fc
74,53,53;1f469-1f3ff-200d-1f91d-200d-1f468-1f3fd
68,49,50;1f469-1f3ff-200d-1f91d-200d-1f468-1f3fe
79,54,61;1f469-1f3ff-200d-1f91d-200d-1f469-1f3fb
94,65,55;1f469-1f3ff-200d-1f91d-200d-1f469-1f3fc
83,49,52;1f469-1f3ff-200d-1f91d-200d-1f469-1f3fd
75,44,47;1f469-1f3ff-200d-1f91d-200d-1f469-1f3fe
20,21,30;1f469-1f3ff-200d-1f9af
133,63,34;1f469-1f3ff-200d-1f9b0
39,22,16;1f469-1f3ff-200d-1f9b1
57,37,27;1f469-1f3ff-200d-1f9b2
130,119,115;1f469-1f3ff-200d-1f9b3
39,30,37;1f469-1f3ff-200d-1f9bc
33,29,37;1f469-1f3ff-200d-1f9bd
38,37,41;1f469-1f3ff-200d-2695-fe0f
55,45,43;1f469-1f3ff-200d-2696-fe0f
71,63,57;1f469-1f3ff-200d-2708-fe0f
42,24,18;1f469-1f3ff
108,92,55;1f469-200d-1f33e
153,137,111;1f469-200d-1f373
98,80,58;1f469-200d-1f37c
144,109,81;1f469-200d-1f384
92,75,44;1f469-200d-1f393
113,83,83;1f469-200d-1f3a4
126,98,66;1f469-200d-1f3a8
164,139,93;1f469-200d-1f3eb
79,93,91;1f469-200d-1f3ed
147,114,60;1f469-200d-1f466-200d-1f466
150,112,75;1f469-200d-1f466
154,113,53;1f469-200d-1f467-200d-1f466
161,111,46;1f469-200d-1f467-200d-1f467
160,112,67;1f469-200d-1f467
209,160,87;1f469-200d-1f469-200d-1f466-200d-1f466
206,155,98;1f469-200d-1f469-200d-1f466
214,157,78;1f469-200d-1f469-200d-1f467-200d-1f466
220,154,69;1f469-200d-1f469-200d-1f467-200d-1f467
214,153,86;1f469-200d-1f469-200d-1f467
140,118,89;1f469-200d-1f4bb
173,167,133;1f469-200d-1f4bc
99,101,81;1f469-200d-1f527
143,123,95;1f469-200d-1f52c
137,109,64;1f469-200d-1f680
127,77,45;1f469-200d-1f692
32,30,32;1f469-200d-1f9af
171,101,43;1f469-200d-1f9b0
186,135,48;1f469-200d-1f9b1
116,97,41;1f469-200d-1f9b2
168,158,124;1f469-200d-1f9b3
48,37,39;1f469-200d-1f9bc
44,38,39;1f469-200d-1f9bd
104,91,55;1f469-200d-2695-fe0f
77,68,48;1f469-200d-2696-fe0f
120,103,68;1f469-200d-2708-fe0f
173,120,80;1f469-200d-2764-fe0f-200d-1f468
190,123,82;1f469-200d-2764-fe0f-200d-1f469
191,128,55;1f469-200d-2764-fe0f-200d-1f48b-200d-1f468
202,131,54;1f469-200d-2764-fe0f-200d-1f48b-200d-1f469
181,133,48;1f469
213,164,77;1f46a
86,74,79;1f46b-1f3fb
116,98,68;1f46b-1f3fc
96,67,64;1f46b-1f3fd
81,58,56;1f46b-1f3fe
59,43,46;1f46b-1f3ff
118,92,59;1f46b
71,78,74;1f46c-1f3fb
92,95,66;1f46c-1f3fc
77,71,62;1f46c-1f3fd
66,64,56;1f46c-1f3fe
48,52,48;1f46c-1f3ff
94,90,58;1f46c
95,72,80;1f46d-1f3fb
128,98,68;1f46d-1f3fc
105,63,63;1f46d-1f3fd
88,53,54;1f46d-1f3fe
63,36,42;1f46d-1f3ff
130,91,57;1f46d
68,80,89;1f46e-1f3fb-200d-2640-fe0f
69,81,89;1f46e-1f3fb-200d-2642-fe0f
67,78,87;1f46e-1f3fb
89,97,80;1f46e-1f3fc-200d-2640-fe0f
73,83,81;1f46e-1f3fc-200d-2642-fe0f
76,85,79;1f46e-1f3fc
74,73,76;1f46e-1f3fd-200d-2640-fe0f
66,73,77;1f46e-1f3fd-200d-2642-fe0f
66,71,75;1f46e-1f3fd
62,66,70;1f46e-1f3fe-200d-2640-fe0f
57,65,69;1f46e-1f3fe-200d-2642-fe0f
57,63,67;1f46e-1f3fe
45,53,61;1f46e-1f3ff-200d-2640-fe0f
45,55,63;1f46e-1f3ff-200d-2642-fe0f
43,53,61;1f46e-1f3ff
91,93,71;1f46e-200d-2640-fe0f
75,83,70;1f46e-200d-2642-fe0f
78,84,69;1f46e
101,82,37;1f46f-200d-2640-fe0f
83,69,34;1f46f-200d-2642-fe0f
88,73,35;1f46f
162,156,153;1f470-1f3fb-200d-2640-fe0f
193,188,185;1f470-1f3fb-200d-2642-fe0f
187,182,180;1f470-1f3fb
213,197,138;1f470-1f3fc-200d-2640-fe0f
209,200,176;1f470-1f3fc-200d-2642-fe0f
210,200,170;1f470-1f3fc
180,147,133;1f470-1f3fd-200d-2640-fe0f
195,180,171;1f470-1f3fd-200d-2642-fe0f
193,174,165;1f470-1f3fd
158,135,123;1f470-1f3fe-200d-2640-fe0f
184,171,163;1f470-1f3fe-200d-2642-fe0f
180,166,157;1f470-1f3fe
125,112,106;1f470-1f3ff-200d-2640-fe0f
166,158,155;1f470-1f3ff-200d-2642-fe0f
160,151,148;1f470-1f3ff
216,186,126;1f470-200d-2640-fe0f
211,197,165;1f470-200d-2642-fe0f
212,196,160;1f470
178,157,70;1f471-1f3fb-200d-2640-fe0f
140,123,77;1f471-1f3fb-200d-2642-fe0f
158,139,75;1f471-1f3fb
177,153,58;1f471-1f3fc-200d-2640-fe0f
139,119,62;1f471-1f3fc-200d-2642-fe0f
157,136,62;1f471-1f3fc
169,143,51;1f471-1f3fd-200d-2640-fe0f
129,106,53;1f471-1f3fd-200d-2642-fe0f
147,123,53;1f471-1f3fd
158,130,37;1f471-1f3fe-200d-2640-fe0f
115,91,36;1f471-1f3fe-200d-2642-fe0f
134,109,37;1f471-1f3fe
142,118,30;1f471-1f3ff-200d-2640-fe0f
94,75,27;1f471-1f3ff-200d-2642-fe0f
115,94,29;1f471-1f3ff
181,155,38;1f471-200d-2640-fe0f
143,122,38;1f471-200d-2642-fe0f
161,137,38;1f471
111,91,79;1f472-1f3fb
110,87,66;1f472-1f3fc
102,76,59;1f472-1f3fd
90,63,45;1f472-1f3fe
72,49,37;1f472-1f3ff
114,90,47;1f472
88,75,86;1f473-1f3fb-200d-2640-fe0f
74,79,63;1f473-1f3fb-200d-2642-fe0f
126,99,88;1f473-1f3fb
87,73,78;1f473-1f3fc-200d-2640-fe0f
89,91,56;1f473-1f3fc-200d-2642-fe0f
129,100,79;1f473-1f3fc
81,66,73;1f473-1f3fd-200d-2640-fe0f
78,74,53;1f473-1f3fd-200d-2642-fe0f
121,90,74;1f473-1f3fd
74,57,63;1f473-1f3fe-200d-2640-fe0f
69,68,48;1f473-1f3fe-200d-2642-fe0f
112,81,65;1f473-1f3fe
63,48,58;1f473-1f3ff-200d-2640-fe0f
55,58,41;1f473-1f3ff-200d-2642-fe0f
99,71,59;1f473-1f3ff
89,75,64;1f473-200d-2640-fe0f
91,88,49;1f473-200d-2642-fe0f
131,101,67;1f473
156,139,129;1f474-1f3fb
154,132,105;1f474-1f3fc
137,110,90;1f474-1f3fd
114,85,63;1f474-1f3fe
83,60,48;1f474-1f3ff
160,138,66;1f474
123,112,108;1f475-1f3fb
122,108,93;1f475-1f3fc
112,95,85;1f475-1f3fd
99,80,69;1f475-1f3fe
81,65,60;1f475-1f3ff
126,111,71;1f475
151,131,120;1f476-1f3fb
148,124,95;1f476-1f3fc
131,102,80;1f476-1f3fd
108,75,52;1f476-1f3fe
72,48,36;1f476-1f3ff
157,130,56;1f476
118,105,66;1f477-1f3fb-200d-2640-fe0f
122,106,65;1f477-1f3fb-200d-2642-fe0f
120,106,66;1f477-1f3fb
134,117,58;1f477-1f3fc-200d-2640-fe0f
122,105,58;1f477-1f3fc-200d-2642-fe0f
126,109,58;1f477-1f3fc
122,98,54;1f477-1f3fd-200d-2640-fe0f
117,98,54;1f477-1f3fd-200d-2642-fe0f
118,98,54;1f477-1f3fd
112,92,48;1f477-1f3fe-200d-2640-fe0f
109,90,46;1f477-1f3fe-200d-2642-fe0f
110,90,46;1f477-1f3fe
98,81,41;1f477-1f3ff-200d-2640-fe0f
99,82,41;1f477-1f3ff-200d-2642-fe0f
97,81,40;1f477-1f3ff
136,114,49;1f477-200d-2640-fe0f
124,107,47;1f477-200d-2642-fe0f
128,109,47;1f477
98,90,87;1f478-1f3fb
176,154,67;1f478-1f3fc
129,80,61;1f478-1f3fd
98,66,51;1f478-1f3fe
51,34,28;1f478-1f3ff
180,135,56;1f478
110,54,51;1f479
132,61,67;1f47a
123,128,131;1f47b
110,111,113;1f47c-1f3fb
144,138,100;1f47c-1f3fc
120,102,95;1f47c-1f3fd
103,91,86;1f47c-1f3fe
75,72,72;1f47c-1f3ff
147,131,88;1f47c
115,121,126;1f47d
36,24,56;1f47e
134,110,174;1f47f
120,126,131;1f480
103,86,105;1f481-1f3fb-200d-2640-fe0f
80,89,98;1f481-1f3fb-200d-2642-fe0f
121,85,69;1f481-1f3fb
153,127,90;1f481-1f3fc-200d-2640-fe0f
107,110,85;1f481-1f3fc-200d-2642-fe0f
154,111,56;1f481-1f3fc
121,77,85;1f481-1f3fd-200d-2640-fe0f
86,79,79;1f481-1f3fd-200d-2642-fe0f
130,75,51;1f481-1f3fd
99,65,75;1f481-1f3fe-200d-2640-fe0f
70,67,69;1f481-1f3fe-200d-2642-fe0f
112,63,40;1f481-1f3fe
65,43,59;1f481-1f3ff-200d-2640-fe0f
45,50,57;1f481-1f3ff-200d-2642-fe0f
86,45,28;1f481-1f3ff
155,116,79;1f481-200d-2640-fe0f
110,105,72;1f481-200d-2642-fe0f
157,104,43;1f481
52,36,38;1f482-1f3fb-200d-2640-fe0f
54,37,39;1f482-1f3fb-200d-2642-fe0f
52,36,38;1f482-1f3fb
57,39,35;1f482-1f3fc-200d-2640-fe0f
54,37,36;1f482-1f3fc-200d-2642-fe0f
53,38,35;1f482-1f3fc
52,33,33;1f482-1f3fd-200d-2640-fe0f
52,34,34;1f482-1f3fd-200d-2642-fe0f
50,33,34;1f482-1f3fd
49,30,31;1f482-1f3fe-200d-2640-fe0f
48,31,31;1f482-1f3fe-200d-2642-fe0f
47,30,30;1f482-1f3fe
43,26,28;1f482-1f3ff-200d-2640-fe0f
44,27,29;1f482-1f3ff-200d-2642-fe0f
42,26,28;1f482-1f3ff
57,39,31;1f482-200d-2640-fe0f
55,37,31;1f482-200d-2642-fe0f
54,38,31;1f482
61,25,28;1f483-1f3fb
72,33,24;1f483-1f3fc
65,22,23;1f483-1f3fd
59,19,20;1f483-1f3fe
52,13,16;1f483-1f3ff
73,31,21;1f483
112,61,45;1f484
96,60,62;1f485-1f3fb
95,57,54;1f485-1f3fc
90,51,50;1f485-1f3fd
83,43,41;1f485-1f3fe
74,35,36;1f485-1f3ff
97,59,42;1f485
109,90,100;1f486-1f3fb-200d-2640-fe0f
87,89,92;1f486-1f3fb-200d-2642-fe0f
127,96,82;1f486-1f3fb
152,128,91;1f486-1f3fc-200d-2640-fe0f
107,105,82;1f486-1f3fc-200d-2642-fe0f
149,112,66;1f486-1f3fc
123,84,83;1f486-1f3fd-200d-2640-fe0f
89,78,74;1f486-1f3fd-200d-2642-fe0f
128,81,58;1f486-1f3fd
100,68,69;1f486-1f3fe-200d-2640-fe0f
72,64,60;1f486-1f3fe-200d-2642-fe0f
109,66,43;1f486-1f3fe
67,44,52;1f486-1f3ff-200d-2640-fe0f
48,46,49;1f486-1f3ff-200d-2642-fe0f
81,45,30;1f486-1f3ff
156,120,72;1f486-200d-2640-fe0f
110,102,63;1f486-200d-2642-fe0f
153,109,45;1f486
93,84,96;1f487-1f3fb-200d-2640-fe0f
79,84,89;1f487-1f3fb-200d-2642-fe0f
99,78,69;1f487-1f3fb
160,139,80;1f487-1f3fc-200d-2640-fe0f
105,104,77;1f487-1f3fc-200d-2642-fe0f
129,102,58;1f487-1f3fc
121,78,77;1f487-1f3fd-200d-2640-fe0f
86,75,72;1f487-1f3fd-200d-2642-fe0f
108,70,54;1f487-1f3fd
97,67,70;1f487-1f3fe-200d-2640-fe0f
70,64,63;1f487-1f3fe-200d-2642-fe0f
93,61,45;1f487-1f3fe
